Datetime,TEMPERATURE,LIGHT,IR.LIGHT,F1,F2,F3,F4,F5,F6,F7,F8,MEDI,CLEAR
"2025-01-20 14:09:00",20.06,337.43,0.01,0.0038,0.0168,0.0152,0.0305,0.0547,0.0752,0.0698,0.0364,190.51,0.13
"2025-01-20 14:09:10",20.38,111.34,0,0.0014,0.006,0.0055,0.0115,0.0172,0.0248,0.0236,0.0125,69.85,0.05
"2025-01-20 14:09:20",20.62,142.97,0,0.0017,0.007,0.0066,0.0136,0.0227,0.0322,0.0302,0.0158,82.37,0.06
"2025-01-20 14:09:30",20.81,74.89,0,0.0009,0.0033,0.0031,0.0066,0.0118,0.0176,0.0169,0.0091,38.97,0.03
"2025-01-20 14:09:40",20.88,113.66,0,0.0022,0.0089,0.0086,0.0172,0.0153,0.023,0.0226,0.012,107.84,0.05
"2025-01-20 14:09:50",20.94,114.75,0,0.0013,0.0059,0.0053,0.0109,0.0182,0.0256,0.0247,0.0132,66.91,0.04
"2025-01-20 14:10:00",21.06,102.51,0,0.0012,0.0046,0.0044,0.0092,0.0164,0.0236,0.0223,0.0119,54.47,0.04
"2025-01-20 14:10:10",21.25,142.86,0,0.0017,0.007,0.0066,0.0134,0.0228,0.0321,0.0301,0.0158,82.06,0.05
"2025-01-20 14:10:20",21.44,141.85,0,0.0017,0.0067,0.0063,0.0131,0.0225,0.0323,0.0306,0.0161,78.85,0.05
"2025-01-20 14:10:30",21.56,191.31,0,0.0022,0.0096,0.0087,0.0181,0.0306,0.0427,0.0398,0.0207,110.86,0.07
"2025-01-20 14:10:40",21.69,143.96,0,0.0017,0.0067,0.0063,0.013,0.0231,0.0328,0.0308,0.0162,78.52,0.05
"2025-01-20 14:10:50",21.81,145.79,0,0.0017,0.0072,0.0066,0.0137,0.0232,0.0329,0.031,0.0162,83.22,0.06
